symbol,token,action,breakout_level,stop_loss,target1,target2,target3,entry_date,position_size,capital_used,exit_date,exit_price,result,pnl_per_share,pnl_total,holding_days
JIOFIN-EQ,18143,BUY,270.0,261.9,286.2,291.6,310.5,2025-05-15,55,14850.0,2025-05-26,281.75,MKT,11.75,646.25,11
BAJAJ-AUTO-EQ,16669,BUY,8048.0,8115.019999999999,8868.0,9035.0,9621.0,2025-05-13,1,8048.0,2025-05-14,8115.019999999999,SL,67.01999999999862,67.01999999999862,1
LODHA-EQ,3220,BUY,1328.0,1369.64,1434.0,1473.0,1598.0,2025-05-15,11,14608.0,2025-05-16,1369.64,SL,41.6400000000001,458.0400000000011,1
AUBANK-EQ,21238,SELL,683.0,703.49,662.0,656.0,642.0,2025-05-21,21,14343.0,2025-05-26,703.49,SL,-20.49000000000001,-430.2900000000002,5
SONACOMS-EQ,4684,BUY,499.3,507.31,554.0,565.0,601.0,2025-05-05,30,14979.0,2025-05-06,507.31,SL,8.009999999999991,240.29999999999973,1
BPCL-EQ,526,BUY,308.5,310.594,325.8,339.4,368.2,2025-05-12,48,14808.0,2025-05-13,310.594,SL,2.093999999999994,100.51199999999972,1
HINDPETRO-EQ,1406,BUY,398.0,395.081,414.0,431.7,468.4,2025-05-15,37,14726.0,2025-05-20,395.081,SL,-2.9189999999999827,-108.00299999999936,5
CUMMINSIND-EQ,1901,BUY,2884.0,2951.71,3064.0,3142.0,3409.0,2025-05-13,5,14420.0,2025-05-14,2951.71,SL,67.71000000000004,338.5500000000002,1
INDHOTEL-EQ,1512,SELL,770.0,772.5,705.0,699.0,638.0,2025-05-20,19,14630.0,2025-05-21,772.5,SL,-2.5,-47.5,1
APOLLOHOSP-EQ,157,SELL,6898.0,6968.9800000000005,6678.0,6484.0,5863.0,2025-05-08,2,13796.0,2025-05-12,6898.0,T1_SL,0.0,0.0,4
INDUSINDBK-EQ,5258,BUY,715.0,776.97,849.0,865.0,921.0,2025-04-15,20,14300.0,2025-04-16,776.97,SL,61.97000000000003,1239.4000000000005,1
