symbol,token,action,breakout_level,stop_loss,target1,target2,target3,entry_date,position_size,capital_used,exit_date,exit_price,result,pnl_per_share,pnl_total,holding_days
LICHSGFIN-EQ,1997,SELL,591.0,608.73,584.0,563.0,556.0,2025-05-30,16,9456.0,2025-06-03,608.73,SL,-17.730000000000018,-283.6800000000003,4
PERSISTENT-EQ,18365,BUY,5630.0,5461.099999999999,5630.0,5815.0,5968.0,2025-05-23,1,5630.0,2025-05-27,5630.0,T1_SL,0.0,0.0,4
UNITDSPR-EQ,10447,SELL,1527.0,1552.21,1507.0,1502.0,1417.0,2025-05-21,6,9162.0,2025-05-22,1552.21,SL,-25.210000000000036,-151.26000000000022,1
JUBLFOOD-EQ,18096,SELL,691.0,678.77,659.0,652.0,619.0,2025-05-20,14,9674.0,2025-05-21,678.77,SL,12.230000000000018,171.22000000000025,1
SRF-EQ,3273,SELL,2950.0,2958.16,2872.0,2849.0,2700.0,2025-05-22,3,8850.0,2025-05-30,2861.0,MKT,89.0,267.0,8
PFC-EQ,14299,BUY,413.8,401.386,417.8,424.5,436.6,2025-05-28,24,9931.2,2025-06-06,413.8,T1_SL,0.0,0.0,9
HAL-EQ,2303,BUY,4608.0,4736.51,5176.0,5274.0,5615.0,2025-05-13,2,9216.0,2025-05-14,4736.51,SL,128.51000000000022,257.02000000000044,1
LTIM-EQ,17818,BUY,4977.0,4936.33,5394.0,5496.0,5852.0,2025-05-13,2,9954.0,2025-05-23,5045.8,MKT,68.80000000000018,137.60000000000036,10
NMDC-EQ,15332,BUY,71.32,69.18039999999999,73.69,75.6,82.02,2025-06-02,140,9984.8,2025-06-04,69.18039999999999,SL,-2.1396000000000015,-299.5440000000002,2
ICICIPRULI-EQ,18652,BUY,656.0,642.14,702.0,715.0,761.0,2025-05-28,15,9840.0,2025-06-03,642.14,SL,-13.860000000000014,-207.9000000000002,6
UPL-EQ,11287,SELL,634.0,653.02,624.0,618.0,596.0,2025-06-03,15,9510.0,2025-06-13,634.0,T1_SL,0.0,0.0,10
ESCORTS-EQ,958,SELL,3492.0,3538.05,3229.0,3102.0,2920.0,2025-05-22,2,6984.0,2025-05-23,3538.05,SL,-46.05000000000018,-92.10000000000036,1
HDFCAMC-EQ,4244,BUY,4495.0,4699.65,5136.0,5233.0,5572.0,2025-05-12,2,8990.0,2025-05-13,4699.65,SL,204.64999999999964,409.2999999999993,1
TORNTPHARM-EQ,3518,SELL,3205.0,3254.8,3102.0,2970.0,2686.0,2025-05-23,3,9615.0,2025-06-02,3127.8,MKT,77.19999999999982,231.59999999999945,10
GMRAIRPORT-EQ,13528,SELL,87.2,87.241,80.5,79.62,72.0,2025-05-20,114,9940.800000000001,2025-05-21,87.241,SL,-0.04099999999999682,-4.673999999999637,1
ICICIBANK-EQ,4963,BUY,1339.0,1331.81,1455.0,1483.0,1579.0,2025-04-15,7,9373.0,2025-04-25,1404.8,MKT,65.79999999999995,460.5999999999997,10
VBL-EQ,18921,SELL,498.0,490.383,472.4,447.5,404.7,2025-05-19,20,9960.0,2025-05-20,490.383,SL,7.617000000000019,152.34000000000037,1
JSWENERGY-EQ,17869,SELL,492.1,506.86300000000006,462.6,442.0,418.3,2025-05-30,20,9842.0,2025-06-03,506.86300000000006,SL,-14.763000000000034,-295.2600000000007,4
OFSS-EQ,10738,SELL,8326.0,8575.78,8326.0,8196.0,7826.0,2025-06-03,1,8326.0,2025-06-04,8575.78,SL,-249.78000000000065,-249.78000000000065,1
