symbol,token,action,entry_date,position_size,capital_used,exit_date,exit_price,result,pnl_per_share,pnl_total,holding_days
COFORGE-EQ,11543,BUY,2025-04-23,7,9884.0,2025-04-24,1457.91,SL,45.91000000000008,321.3700000000006,1
GODREJCP-EQ,10099,BUY,2025-04-23,8,9976.0,2025-04-28,1247.0,T1_SL,0.0,0.0,5
IGL-EQ,11262,BUY,2025-04-22,54,9882.0,2025-04-23,184.688,SL,1.6879999999999882,91.15199999999936,1
ETERNAL-EQ,5097,BUY,2025-04-15,45,9864.0,2025-04-16,229.017,SL,9.817000000000007,441.7650000000003,1
M&M-EQ,2031,BUY,2025-04-22,3,8322.0,2025-05-02,2926.2,MKT,152.19999999999982,456.59999999999945,10
MAXHEALTH-EQ,22377,BUY,2025-04-23,8,9104.0,2025-04-24,1103.86,SL,-34.1400000000001,-273.1200000000008,1
SBICARD-EQ,17971,BUY,2025-04-15,11,9427.0,2025-04-25,867.55,MKT,10.549999999999955,116.0499999999995,10
CUMMINSIND-EQ,1901,BUY,2025-04-15,3,8556.0,2025-04-25,2861.1,MKT,9.099999999999909,27.299999999999727,10
MUTHOOTFIN-EQ,23650,BUY,2025-04-22,4,8844.0,2025-04-25,2144.67,SL,-66.32999999999993,-265.3199999999997,3
PERSISTENT-EQ,18365,BUY,2025-04-22,1,5006.0,2025-04-23,5280.68,SL,274.6800000000003,274.6800000000003,1
HINDUNILVR-EQ,1394,BUY,2025-04-22,4,9584.0,2025-04-24,2364.86,SL,-31.139999999999873,-124.55999999999949,2
BIOCON-EQ,11373,BUY,2025-04-17,30,9951.0,2025-04-24,331.7,T1_SL,0.0,0.0,7
HYUNDAI-EQ,25844,BUY,2025-04-17,6,9960.0,2025-04-21,1657.73,SL,-2.269999999999982,-13.61999999999989,4
TATASTEEL-EQ,3499,BUY,2025-04-21,72,9936.0,2025-04-30,140.08,MKT,2.0800000000000125,149.7600000000009,9
HINDALCO-EQ,1363,BUY,2025-04-15,16,9728.0,2025-04-16,606.25,SL,-1.75,-28.0,1
APLAPOLLO-EQ,25780,BUY,2025-04-15,6,9198.0,2025-04-16,1555.88,SL,22.88000000000011,137.28000000000065,1
SHRIRAMFIN-EQ,4306,BUY,2025-04-15,15,9975.0,2025-04-16,675.12,SL,10.120000000000005,151.80000000000007,1
