symbol,token,action,entry_date,position_size,capital_used,exit_date,exit_price,result,pnl_per_share,pnl_total,holding_days
IDFCFIRSTB-EQ,11184,BUY,2025-06-02,145,9961.5,2025-06-03,70.1019,SL,1.4018999999999977,203.27549999999968,1
PNB-EQ,10666,BUY,2025-06-02,94,9982.800000000001,2025-06-03,108.446,SL,2.245999999999995,211.12399999999954,1
BRITANNIA-EQ,547,BUY,2025-06-02,1,5550.0,2025-06-12,5569.5,MKT,19.5,19.5,10
HDFCBANK-EQ,1333,BUY,2025-06-03,5,9750.0,2025-06-12,1943.4,MKT,-6.599999999999909,-32.999999999999545,9
PREMIERENE-EQ,25049,BUY,2025-06-03,9,9819.0,2025-06-04,1065.06,SL,-25.940000000000055,-233.4600000000005,1
LICHSGFIN-EQ,1997,BUY,2025-06-03,16,9696.0,2025-06-04,606.25,SL,0.25,4.0,1
UNITDSPR-EQ,10447,BUY,2025-06-04,6,9558.0,2025-06-11,1593.0,T1_SL,0.0,0.0,7
JUBLFOOD-EQ,18096,BUY,2025-06-04,14,9408.0,2025-06-12,672.21,SL,0.21000000000003638,2.9400000000005093,8
SRF-EQ,3273,BUY,2025-06-04,3,8952.0,2025-06-05,3033.19,SL,49.190000000000055,147.57000000000016,1
LTIM-EQ,17818,BUY,2025-06-04,1,5130.0,2025-06-05,5281.65,SL,151.64999999999964,151.64999999999964,1
UPL-EQ,11287,BUY,2025-06-04,15,9585.0,2025-06-09,639.0,T1_SL,0.0,0.0,5
TORNTPOWER-EQ,13786,BUY,2025-06-04,7,9961.0,2025-06-11,1423.0,T1_SL,0.0,0.0,7
DMART-EQ,19913,BUY,2025-06-05,2,8340.0,2025-06-10,4044.9,SL,-125.09999999999991,-250.19999999999982,5
EXIDEIND-EQ,676,BUY,2025-06-05,25,9815.0,2025-06-06,393.626,SL,1.0259999999999536,25.64999999999884,1
CIPLA-EQ,694,BUY,2025-06-05,6,8964.0,2025-06-12,1502.8,MKT,8.799999999999955,52.79999999999973,7
POLICYBZR-EQ,6656,BUY,2025-06-05,5,9270.0,2025-06-13,1890.4,MKT,36.40000000000009,182.00000000000045,8
DRREDDY-EQ,881,BUY,2025-06-06,7,9121.0,2025-06-09,1322.11,SL,19.1099999999999,133.7699999999993,3
NHPC-EQ,17400,BUY,2025-06-06,113,9977.9,2025-06-12,89.2,T2_SL,0.9000000000000057,101.70000000000064,6
SWIGGY-EQ,27066,BUY,2025-06-06,27,9990.0,2025-06-10,358.9,SL,-11.100000000000023,-299.7000000000006,4
POLYCAB-EQ,9590,BUY,2025-06-06,1,6020.0,2025-06-12,6020.0,T1_SL,0.0,0.0,6
LODHA-EQ,3220,BUY,2025-06-06,6,8880.0,2025-06-10,1480.0,T1_SL,0.0,0.0,4
JIOFIN-EQ,18143,BUY,2025-06-06,34,9962.0,2025-06-12,296.0,MKT,3.0,102.0,6
TECHM-EQ,13538,BUY,2025-06-06,6,9420.0,2025-06-09,1608.26,SL,38.25999999999999,229.55999999999995,3
HINDALCO-EQ,1363,BUY,2025-06-06,15,9615.0,2025-06-12,651.05,MKT,10.049999999999955,150.74999999999932,6
INDUSINDBK-EQ,5258,BUY,2025-06-06,12,9936.0,2025-06-12,829.9,MKT,1.8999999999999773,22.799999999999727,6
ICICIBANK-EQ,4963,BUY,2025-06-06,6,8760.0,2025-06-13,1416.2,SL,-43.799999999999955,-262.7999999999997,7
TRENT-EQ,1964,BUY,2025-06-09,1,5806.0,2025-06-11,5806.0,T1_SL,0.0,0.0,2
LTF-EQ,24948,BUY,2025-06-09,52,9984.0,2025-06-11,192.0,T1_SL,0.0,0.0,2
HEROMOTOCO-EQ,1348,BUY,2025-06-09,2,8594.0,2025-06-12,4418.0,T2_SL,121.0,242.0,3
MARUTI-EQ,10999,BUY,2025-06-09,0,0.0,2025-06-12,12390.0,MKT,-100.0,-0.0,3
MOTILALOFS-EQ,14947,BUY,2025-06-09,11,9680.0,2025-06-11,853.6,SL,-26.399999999999977,-290.39999999999975,2
PFC-EQ,14299,BUY,2025-06-09,23,9694.5,2025-06-12,421.562,SL,0.06200000000001182,1.426000000000272,3
AUBANK-EQ,21238,BUY,2025-06-09,13,9828.0,2025-06-12,778.7,MKT,22.700000000000045,295.1000000000006,3
ADANIGREEN-EQ,3563,BUY,2025-06-09,9,9216.0,2025-06-11,1038.0,T2_SL,14.0,126.0,2
BANDHANBNK-EQ,2263,BUY,2025-06-09,57,9986.4,2025-06-12,177.68,MKT,2.480000000000018,141.36000000000104,3
SJVN-EQ,18883,BUY,2025-06-09,95,9918.0,2025-06-11,104.4,T1_SL,0.0,0.0,2
SIEMENS-EQ,3150,BUY,2025-06-09,2,6696.0,2025-06-11,3348.0,T1_SL,0.0,0.0,2
IRCTC-EQ,13611,BUY,2025-06-09,12,9432.0,2025-06-11,786.0,T1_SL,0.0,0.0,2
ONGC-EQ,2475,BUY,2025-06-09,41,9860.5,2025-06-10,244.44,SL,3.9399999999999977,161.5399999999999,1
INDUSTOWER-EQ,29135,BUY,2025-06-09,25,9845.0,2025-06-12,381.986,SL,-11.814000000000021,-295.35000000000053,3
GRASIM-EQ,1232,BUY,2025-06-09,3,7797.0,2025-06-12,2689.1,MKT,90.09999999999991,270.2999999999997,3
CHOLAFIN-EQ,685,BUY,2025-06-09,6,9744.0,2025-06-13,1575.28,SL,-48.72000000000003,-292.32000000000016,4
IREDA-EQ,20261,BUY,2025-06-09,55,9845.0,2025-06-13,173.63,SL,-5.3700000000000045,-295.35000000000025,4
ABB-EQ,13,BUY,2025-06-09,1,6118.0,2025-06-11,6118.0,T1_SL,0.0,0.0,2
COALINDIA-EQ,20374,BUY,2025-06-09,24,9715.2,2025-06-12,392.656,SL,-12.144000000000005,-291.45600000000013,3
ADANIENT-EQ,25,BUY,2025-06-09,3,7659.0,2025-06-11,2584.0,T2_SL,31.0,93.0,2
ATGL-EQ,6066,BUY,2025-06-09,14,9660.0,2025-06-12,674.15,SL,-15.850000000000023,-221.90000000000032,3
ADANIENSOL-EQ,10217,BUY,2025-06-09,11,9878.0,2025-06-11,898.0,T1_SL,0.0,0.0,2
ADANIPOWER-EQ,17388,BUY,2025-06-09,17,9588.0,2025-06-12,567.15,MKT,3.1499999999999773,53.54999999999961,3
ZYDUSLIFE-EQ,7929,BUY,2025-06-09,10,9620.0,2025-06-12,978.8,MKT,16.799999999999955,167.99999999999955,3
SBILIFE-EQ,21808,BUY,2025-06-09,5,8955.0,2025-06-11,1791.0,T1_SL,0.0,0.0,2
OIL-EQ,17438,BUY,2025-06-09,23,9883.1,2025-06-10,453.96,SL,24.25999999999999,557.9799999999998,1
AMBUJACEM-EQ,1270,BUY,2025-06-09,17,9469.0,2025-06-12,546.11,SL,-10.889999999999986,-185.12999999999977,3
PETRONET-EQ,11351,BUY,2025-06-09,32,9920.0,2025-06-12,302.64,SL,-7.360000000000014,-235.52000000000044,3
NTPC-EQ,11630,BUY,2025-06-09,29,9671.5,2025-06-12,333.7,MKT,0.19999999999998863,5.79999999999967,3
IRFC-EQ,2029,BUY,2025-06-09,67,9916.0,2025-06-12,143.56,SL,-4.439999999999998,-297.47999999999985,3
CANBK-EQ,10794,BUY,2025-06-09,84,9920.4,2025-06-12,115.64,MKT,-2.4599999999999937,-206.63999999999947,3
CUMMINSIND-EQ,1901,BUY,2025-06-09,2,6816.0,2025-06-11,3408.0,T1_SL,0.0,0.0,2
MAXHEALTH-EQ,22377,BUY,2025-06-09,8,9360.0,2025-06-10,1182.43,SL,12.430000000000064,99.44000000000051,1
TATAPOWER-EQ,3426,BUY,2025-06-09,24,9744.0,2025-06-12,403.52,SL,-2.480000000000018,-59.52000000000044,3
HAVELLS-EQ,9819,BUY,2025-06-09,6,9156.0,2025-06-13,1501.56,SL,-24.440000000000055,-146.64000000000033,4
OFSS-EQ,10738,BUY,2025-06-09,1,8885.0,2025-06-10,9328.49,SL,443.4899999999998,443.4899999999998,1
EICHERMOT-EQ,910,BUY,2025-06-10,1,5407.0,2025-06-12,5315.5,MKT,-91.5,-91.5,2
BHEL-EQ,438,BUY,2025-06-10,38,9880.0,2025-06-12,253.8,MKT,-6.199999999999989,-235.59999999999957,2
PERSISTENT-EQ,18365,BUY,2025-06-10,1,5815.0,2025-06-12,5922.0,MKT,107.0,107.0,2
TATAELXSI-EQ,3411,BUY,2025-06-10,1,6643.0,2025-06-12,6443.71,SL,-199.28999999999996,-199.28999999999996,2
AXISBANK-EQ,5900,BUY,2025-06-10,8,9792.0,2025-06-12,1224.0,T1_SL,0.0,0.0,2
VBL-EQ,18921,BUY,2025-06-10,20,9610.0,2025-06-12,476.6,MKT,-3.8999999999999773,-77.99999999999955,2
BPCL-EQ,526,BUY,2025-06-10,31,9963.4,2025-06-12,321.4,T1_SL,0.0,0.0,2
TCS-EQ,11536,BUY,2025-06-10,2,6868.0,2025-06-12,3434.2,MKT,0.1999999999998181,0.3999999999996362,2
JSWSTEEL-EQ,11723,BUY,2025-06-10,9,9153.0,2025-06-12,995.65,MKT,-21.350000000000023,-192.1500000000002,2
