date,time,symbol,token,action,breakout_level,stop_loss,target1,target2,target3,rsi,macd,volume,level_score,level_age,close
09-06-2025,10:55:00,ADANIENSOL-EQ,10217,BUY,898,871.06,898,935,952,74.65432271,3.738405006,110255,,,901.9
10-06-2025,11:50:00,ADANIENSOL-EQ,10217,BUY,908,880.76,908,935,962,58.99124057,1.498588106,165607,,,908.6
15-04-2025,14:05:00,ADANIENT-EQ,25,BUY,2344,2273.68,2430,2485,2696,59.48235872,0.281871281,10238,,,2415.7
17-04-2025,10:35:00,ADANIENT-EQ,25,BUY,2430,2357.1,2440,2576,2794,66.5153585,3.380306964,32844,,,2430.1
22-04-2025,09:25:00,ADANIENT-EQ,25,BUY,2465,2391.05,2613,2662,2835,70.96272248,2.592365679,78873,,,2471.5
14-05-2025,09:20:00,ADANIENT-EQ,25,BUY,2455,2381.35,2483,2497,2602,69.27504292,2.519901975,38076,,,2460.3
15-05-2025,13:05:00,ADANIENT-EQ,25,BUY,2497,2422.09,2647,2697,2872,60.24637593,1.544074931,41132,,,2500.7
23-05-2025,10:45:00,ADANIENT-EQ,25,BUY,2497,2422.09,2584,2647,2872,73.86424343,6.830719906,38373,,,2525
09-06-2025,10:45:00,ADANIENT-EQ,25,BUY,2553,2476.41,2553,2569,2706,69.29734658,3.658696001,44536,,,2564.2
10-06-2025,09:15:00,ADANIENT-EQ,25,BUY,2584,2506.48,2584,2604,2739,65.29032774,1.289111741,40964,,,2593
16-04-2025,09:40:00,ADANIGREEN-EQ,3563,BUY,942,913.74,976,983,999,69.29332568,3.66572094,89427,,,947.95
17-04-2025,10:25:00,ADANIGREEN-EQ,3563,BUY,956,927.32,976,983,1013,73.11359818,1.816629622,176514,,,956.9
05-05-2025,11:45:00,ADANIGREEN-EQ,3563,BUY,972,942.84,976,1030,1118,71.99340128,12.53771027,348398,,,973.85
13-05-2025,11:25:00,ADANIGREEN-EQ,3563,BUY,945,916.65,972,976,1002,72.36908406,5.199364996,97673,,,969.45
16-05-2025,10:20:00,ADANIGREEN-EQ,3563,BUY,976,946.72,1004,1035,1122,70.73688452,6.49452693,215474,,,994.65
22-05-2025,09:40:00,ADANIGREEN-EQ,3563,BUY,1004,973.88,1038,1064,1155,67.58608067,3.359378509,88614,,,1005.25
26-05-2025,09:40:00,ADANIGREEN-EQ,3563,BUY,1004,973.88,1038,1064,1155,70.44002957,3.446696758,123933,,,1004.1
09-06-2025,09:20:00,ADANIGREEN-EQ,3563,BUY,1024,993.28,1024,1028,1085,69.79368875,1.343613232,126569,,,1026
10-06-2025,09:15:00,ADANIGREEN-EQ,3563,BUY,1038,1006.86,1038,1044,1100,73.00885818,1.107254981,125929,,,1041.5
15-04-2025,15:05:00,ADANIPORTS-EQ,15083,BUY,1211,1174.67,1212,1284,1393,55.30682096,-0.104972083,67634,,,1212
16-04-2025,15:10:00,ADANIPORTS-EQ,15083,BUY,1226,1189.22,1300,1324,1410,74.78785381,4.118462846,64910,,,1232.6
28-04-2025,11:10:00,ADANIPORTS-EQ,15083,BUY,1206,1169.82,1278,1282,1387,63.15192454,3.846374797,63077,,,1210.1
05-05-2025,09:35:00,ADANIPORTS-EQ,15083,BUY,1295,1256.15,1373,1399,1489,74.39222806,8.946425216,299155,,,1306.4
13-05-2025,11:15:00,ADANIPORTS-EQ,15083,BUY,1377,1335.69,1460,1487,1584,70.71600173,3.978129904,82328,,,1380.4
15-05-2025,13:00:00,ADANIPORTS-EQ,15083,BUY,1392,1350.24,1476,1503,1601,59.57974458,1.382263487,46229,,,1393.3
16-05-2025,09:20:00,ADANIPORTS-EQ,15083,BUY,1410,1367.7,1495,1523,1621,70.04384162,3.405696168,170861,,,1417.5
23-05-2025,10:45:00,ADANIPORTS-EQ,15083,BUY,1377,1335.69,1425,1460,1584,72.23512502,4.530705779,54697,,,1394.4
28-05-2025,10:45:00,ADANIPORTS-EQ,15083,BUY,1419,1376.43,1425,1504,1632,72.4050572,3.853179505,68566,,,1422.8
